strike,dip,rake,event_id
133.0,50.0,138.0,3143312
140.0,52.0,98.0,3145744
172.0,79.0,171.0,3145744
137.0,45.0,128.0,3146815
309.0,39.0,117.0,3146907
146.0,76.0,146.0,3146907
143.0,54.0,110.0,3147167
303.0,41.0,81.0,3148047
285.0,43.0,74.0,3149674
142.0,57.0,130.0,3150936
146.0,58.0,130.0,3150947
124.0,48.0,102.0,3151649
282.0,45.0,67.0,3152142
120.0,47.0,102.0,2148509
278.0,49.0,62.0,3152388
283.0,47.0,62.0,3152559
317.0,38.0,131.0,3153955
137.0,53.0,115.0,3158361
137.0,64.0,119.0,3159027
284.0,37.0,67.0,3159267
147.0,54.0,123.0,2155068
149.0,54.0,131.0,3160206
128.0,50.0,124.0,3177685
293.0,45.0,62.0,3148018
299.0,48.0,101.0,3150301
308.0,40.0,109.0,3150490
