station,azimuth,takeoff_angle,source_receiver_distance,quality,polarity,event_id
IR2 ,51.0,121.0,25.8,0,-1,3143312
SWM ,3.0,103.0,52.8,0,1,3143312
PYR ,342.0,110.0,37.9,0,1,3143312
SSN ,216.0,86.0,137.8,1,1,3143312
ABL ,320.0,94.0,87.5,0,1,3143312
PTD ,213.0,115.0,31.7,0,-1,3143312
GRH ,36.0,152.0,9.0,0,1,3143312
ECF ,299.0,104.0,49.7,0,1,3143312
BMT ,1.0,92.0,99.4,0,-1,3143312
TPR ,171.0,134.0,16.9,0,-1,3143312
TPO ,27.0,95.0,79.3,0,1,3143312
FTC ,340.0,96.0,74.6,0,-1,3143312
DBM ,16.0,94.0,85.2,1,-1,3143312
WSP ,5.0,109.0,39.5,0,-1,3143312
CJV ,54.0,102.0,54.0,0,-1,3143312
STT ,13.0,100.0,62.4,0,-1,3143312
THC ,357.0,96.0,74.2,1,-1,3143312
FIL ,315.0,118.0,28.4,0,1,3143312
TJR ,352.0,94.0,88.0,1,-1,3143312
QAL ,351.0,101.0,57.0,0,-1,3143312
LHU ,22.0,103.0,51.2,0,-1,3143312
SYL ,51.0,129.0,19.7,0,-1,3143312
NHL ,6.0,135.0,16.7,0,-1,3143312
SMF ,147.0,117.0,29.2,0,-1,3143312
BRCY,10.0,157.0,7.3,0,1,3143312
CPCP,166.0,168.0,3.6,0,1,3143312
LA00,135.0,127.0,21.3,0,-1,3143312
LA01,127.0,128.0,20.5,0,-1,3143312
RESB,46.0,153.0,8.6,0,1,3143312
SMIP,297.0,163.0,5.1,0,1,3143312
KSRG,147.0,123.0,24.3,0,-1,3143312
IR2 ,51.0,121.0,26.1,0,-1,3145744
PYR ,343.0,111.0,38.0,0,1,3145744
SIP ,255.0,138.0,15.2,0,1,3145744
ECF ,299.0,105.0,49.5,0,1,3145744
SLG ,250.0,108.0,43.3,1,-1,3145744
LRR ,60.0,100.0,63.0,0,-1,3145744
TPR ,169.0,135.0,16.8,0,-1,3145744
LJB ,61.0,95.0,81.0,1,-1,3145744
JNH ,69.0,99.0,65.2,1,-1,3145744
XTL ,85.0,98.0,70.0,0,-1,3145744
OAK ,312.0,129.0,20.3,0,1,3145744
HYS ,54.0,89.0,119.0,1,-1,3145744
DBM ,16.0,94.0,85.4,0,-1,3145744
WSP ,6.0,110.0,39.7,0,-1,3145744
LEO ,34.0,104.0,52.2,0,-1,3145744
TWL ,30.0,165.0,4.8,0,1,3145744
CJV ,54.0,103.0,54.3,0,-1,3145744
STT ,13.0,100.0,62.6,1,-1,3145744
FIL ,316.0,119.0,28.3,0,1,3145744
CAL ,33.0,89.0,114.1,1,-1,3145744
LHU ,22.0,104.0,51.5,0,-1,3145744
FOX ,33.0,99.0,66.4,1,-1,3145744
SYL ,51.0,129.0,20.0,0,-1,3145744
NHL ,7.0,135.0,16.8,0,-1,3145744
VRD ,95.0,116.0,31.5,0,-1,3145744
BRCY,12.0,156.0,7.5,0,1,3145744
CWHP,66.0,164.0,4.9,0,1,3145744
LA01,126.0,129.0,20.7,0,1,3145744
PIRU,320.0,123.0,25.0,0,1,3145744
SFPW,74.0,131.0,18.8,0,1,3145744
SMGC,347.0,129.0,20.6,0,1,3145744
KSRG,146.0,124.0,24.3,0,1,3145744
PWGB,319.0,142.0,13.4,0,1,3145744
IR2 ,51.0,122.0,26.3,0,-1,3146815
SBB ,56.0,94.0,88.6,0,-1,3146815
MWC ,92.0,104.0,51.8,0,1,3146815
PAS ,104.0,109.0,42.6,1,-1,3146815
PEC ,106.0,87.0,139.7,1,-1,3146815
CIS ,168.0,93.0,94.7,1,-1,3146815
CLC ,28.0,81.0,199.0,0,-1,3146815
SSN ,216.0,87.0,137.3,0,-1,3146815
CIW ,176.0,94.0,86.2,0,-1,3146815
YEG ,317.0,82.0,181.3,1,1,3146815
WSC ,22.0,83.0,176.3,1,-1,3146815
SIP ,255.0,139.0,15.1,0,1,3146815
SAD ,193.0,133.0,18.1,0,-1,3146815
ABL ,321.0,94.0,87.6,1,1,3146815
PTD ,213.0,117.0,31.2,0,-1,3146815
RYS ,304.0,96.0,80.8,0,1,3146815
WSH ,34.0,82.0,183.5,0,-1,3146815
GRH ,37.0,152.0,9.5,0,1,3146815
LRL ,32.0,84.0,162.7,1,-1,3146815
WJP ,6.0,88.0,130.9,1,-1,3146815
SME ,112.0,88.0,125.2,1,1,3146815
PVR ,157.0,101.0,58.8,0,-1,3146815
SUN ,92.0,95.0,85.3,0,-1,3146815
PEM ,97.0,98.0,69.5,0,1,3146815
ECF ,299.0,105.0,49.6,0,1,3146815
TOW ,24.0,81.0,191.5,0,-1,3146815
SLG ,251.0,108.0,43.2,0,-1,3146815
HOD ,62.0,86.0,142.8,1,-1,3146815
LRR ,60.0,100.0,63.2,0,-1,3146815
BMT ,1.0,92.0,99.8,0,-1,3146815
SRT ,26.0,82.0,180.3,0,-1,3146815
WNM ,20.0,81.0,190.0,0,-1,3146815
TPR ,169.0,136.0,16.6,0,-1,3146815
LJB ,61.0,95.0,81.1,0,-1,3146815
JNH ,69.0,99.0,65.3,0,-1,3146815
BLK ,54.0,84.0,159.8,1,-1,3146815
GFP ,113.0,118.0,30.2,0,-1,3146815
BTL ,89.0,86.0,148.6,1,1,3146815
WBS ,17.0,85.0,150.9,0,-1,3146815
DTP ,32.0,87.0,134.8,0,-1,3146815
XTL ,85.0,98.0,70.1,0,-1,3146815
OAK ,313.0,130.0,20.4,0,1,3146815
PVP ,158.0,103.0,53.9,0,-1,3146815
CSP ,87.0,89.0,116.3,0,-1,3146815
TPO ,27.0,96.0,79.8,0,-1,3146815
SCY ,134.0,128.0,21.2,0,1,3146815
ELM ,70.0,93.0,95.7,0,-1,3146815
FTC ,340.0,97.0,74.8,0,-1,3146815
SND ,16.0,90.0,104.7,0,-1,3146815
HYS ,54.0,89.0,119.2,0,-1,3146815
DBM ,16.0,95.0,85.7,0,-1,3146815
SBK ,46.0,87.0,133.6,0,1,3146815
WSP ,6.0,110.0,39.9,0,-1,3146815
ARV ,349.0,92.0,100.6,0,-1,3146815
PLE ,333.0,93.0,91.0,0,-1,3146815
LOK ,321.0,98.0,69.2,0,-1,3146815
LEO ,34.0,104.0,52.4,0,-1,3146815
LLN ,69.0,97.0,76.3,0,-1,3146815
TWL ,29.0,164.0,5.0,0,1,3146815
CJV ,54.0,103.0,54.5,0,-1,3146815
STT ,13.0,100.0,62.9,0,1,3146815
THC ,357.0,97.0,74.5,0,-1,3146815
FIL ,316.0,120.0,28.4,0,1,3146815
TJR ,353.0,94.0,88.4,0,-1,3146815
QAL ,351.0,102.0,57.4,0,-1,3146815
CAL ,33.0,89.0,114.3,0,-1,3146815
ELS ,121.0,88.0,127.9,0,1,3146815
JAW ,24.0,88.0,130.9,0,-1,3146815
GSA ,104.0,106.0,46.7,0,1,3146815
LHU ,22.0,104.0,51.7,0,-1,3146815
GVR ,115.0,105.0,50.7,1,1,3146815
CFL ,79.0,103.0,55.9,0,-1,3146815
FOX ,32.0,99.0,66.6,0,-1,3146815
SYL ,51.0,130.0,20.2,0,-1,3146815
NHL ,7.0,135.0,17.1,0,-1,3146815
PLS ,118.0,90.0,105.3,0,1,3146815
WIN ,114.0,85.0,152.6,1,1,3146815
SMF ,146.0,119.0,29.0,0,-1,3146815
VRD ,95.0,117.0,31.5,0,-1,3146815
BRCY,12.0,156.0,7.8,0,1,3146815
CPCP,158.0,169.0,3.3,0,1,3146815
CSNR,87.0,155.0,8.3,0,1,3146815
CWHP,64.0,164.0,5.0,0,1,3146815
FLMR,304.0,114.0,34.5,0,1,3146815
JFPP,55.0,141.0,14.1,0,-1,3146815
LA00,134.0,128.0,21.3,0,-1,3146815
LA01,126.0,129.0,20.6,0,-1,3146815
NWHP,26.0,133.0,18.4,0,1,3146815
PIRU,320.0,123.0,25.1,0,1,3146815
RESB,45.0,153.0,9.1,0,1,3146815
SFMI,77.0,139.0,15.2,0,1,3146815
SFPW,73.0,132.0,18.9,0,1,3146815
SFYP,91.0,136.0,16.7,0,-1,3146815
PWGB,320.0,142.0,13.6,0,1,3146815
IR2 ,49.0,121.0,25.6,0,-1,3146907
CIS ,168.0,92.0,94.4,0,-1,3146907
SWM ,3.0,102.0,53.2,0,1,3146907
PYR ,342.0,109.0,38.6,0,1,3146907
SIP ,257.0,135.0,16.1,0,1,3146907
SAD ,196.0,131.0,18.2,0,-1,3146907
SLG ,251.0,106.0,44.2,0,-1,3146907
BMT ,1.0,91.0,99.9,0,-1,3146907
